GEOID,County,PI_HV,HS_HV,EHS_HV,MIECHV,HFI By Service,PTS,Total Slots
0400000US17,Illinois,18228,735,3891,876,1351,1268,26349
0500000US17001,Adams,68,0,20,0,34,0,122
0500000US17003,Alexander,50,0,0,0,0,0,50
0500000US17005,Bond,110,0,0,0,40,0,150
0500000US17007,Boone,0,0,0,0,0,0,0
0500000US17009,Brown,15,0,20,0,0,0,35
0500000US17011,Bureau,36,0,6,0,0,0,42
0500000US17013,Calhoun,51,0,0,0,0,0,51
0500000US17015,Carroll,54,0,0,0,0,0,54
0500000US17017,Cass,48,0,11,0,0,0,59
0500000US17019,Champaign,425,40,45,1,0,0,511
0500000US17021,Christian,44,0,44,0,0,0,88
0500000US17023,Clark,0,0,0,0,0,0,0
0500000US17025,Clay,96,0,10,0,46,0,152
0500000US17027,Clinton,0,12,54,0,0,0,66
0500000US17029,Coles,69,0,0,3,0,0,72
0500000US17031,Cook,8491,337,1740,329,377,587,11861
0500000US17033,Crawford,114,0,0,0,0,0,114
0500000US17035,Cumberland,0,8,0,0,0,0,8
0500000US17037,DeKalb,61,0,130,14,19,0,224
0500000US17039,DeWitt,0,0,0,0,7,0,7
0500000US17041,Douglas,0,0,0,0,0,0,0
0500000US17043,DuPage,1307,0,103,1,180,92,1683
0500000US17045,Edgar,91,0,0,0,0,0,91
0500000US17047,Edwards,0,8,35,0,0,0,43
0500000US17049,Effingham,145,0,32,0,0,0,177
0500000US17051,Fayette,29,0,22,0,34,0,85
0500000US17053,Ford,0,0,11,0,0,0,11
0500000US17055,Franklin,72,0,42,0,0,0,114
0500000US17057,Fulton,20,0,29,0,0,0,49
0500000US17059,Gallatin,0,0,0,0,0,0,0
0500000US17061,Greene,140,0,0,0,0,0,140
0500000US17063,Grundy,32,0,0,0,0,0,32
0500000US17065,Hamilton,37,7,26,0,0,0,70
0500000US17067,Hancock,20,0,11,0,0,0,31
0500000US17069,Hardin,0,0,0,0,0,0,0
0500000US17071,Henderson,22,0,0,0,0,0,22
0500000US17073,Henry,155,0,0,0,0,0,155
0500000US17075,Iroquois,0,0,11,1,13,0,25
0500000US17077,Jackson,271,0,0,0,92,0,363
0500000US17079,Jasper,0,0,0,0,0,0,0
0500000US17081,Jefferson,0,0,0,0,0,44,44
0500000US17083,Jersey,57,0,0,0,0,0,57
0500000US17085,Jo Daviess,55,0,0,0,0,0,55
0500000US17087,Johnson,0,0,0,0,0,0,0
0500000US17089,Kane,931,0,30,82,66,146,1255
0500000US17091,Kankakee,245,0,0,32,0,0,277
0500000US17093,Kendall,0,0,0,0,0,7,7
0500000US17095,Knox,84,0,24,0,0,0,108
0500000US17097,Lake,531,96,38,0,31,62,758
0500000US17099,LaSalle,40,0,36,0,0,0,76
0500000US17101,Lawrence,0,0,0,0,0,0,0
0500000US17103,Lee,100,0,6,0,0,0,106
0500000US17105,Livingston,0,0,4,0,46,0,50
0500000US17107,Logan,50,0,20,0,0,0,70
0500000US17115,Macon,240,0,98,108,16,0,462
0500000US17117,Macoupin,49,0,0,0,59,0,108
0500000US17119,Madison,426,21,286,4,39,0,776
0500000US17121,Marion,0,12,10,0,0,24,46
0500000US17123,Marshall,0,0,5,0,0,0,5
0500000US17125,Mason,40,0,0,0,0,0,40
0500000US17127,Massac,0,0,10,0,0,0,10
0500000US17109,McDonough,20,0,11,0,0,0,31
0500000US17111,McHenry,309,28,0,1,0,0,338
0500000US17113,McLean,233,0,152,19,24,0,428
0500000US17129,Menard,0,0,9,0,0,0,9
0500000US17131,Mercer,21,0,0,0,0,0,21
0500000US17133,Monroe,0,0,0,0,0,0,0
0500000US17135,Montgomery,105,0,12,0,0,0,117
0500000US17137,Morgan,114,0,0,0,0,0,114
0500000US17139,Moultrie,0,0,0,0,0,0,0
0500000US17141,Ogle,0,0,12,1,0,0,13
0500000US17143,Peoria,427,0,64,21,0,59,571
0500000US17145,Perry,12,0,0,0,0,0,12
0500000US17147,Piatt,0,0,0,0,1,0,1
0500000US17149,Pike,45,0,10,0,0,0,55
0500000US17151,Pope,0,0,10,0,0,0,10
0500000US17153,Pulaski,0,0,0,0,0,0,0
0500000US17155,Putnam,0,0,0,0,0,0,0
0500000US17157,Randolph,60,0,0,0,0,0,60
0500000US17159,Richland,119,0,0,0,0,0,119
0500000US17161,Rock Island,92,12,0,0,75,0,179
0500000US17165,Saline,18,76,94,0,0,0,188
0500000US17167,Sangamon,243,0,66,0,44,45,398
0500000US17169,Schuyler,15,0,11,0,0,0,26
0500000US17171,Scott,0,0,0,0,0,0,0
0500000US17173,Shelby,50,0,0,0,0,0,50
0500000US17163,St. Clair,395,25,88,71,0,0,579
0500000US17175,Stark,0,0,0,0,0,0,0
0500000US17177,Stephenson,123,0,0,39,41,75,278
0500000US17179,Tazewell,50,0,0,2,0,4,56
0500000US17181,Union,0,0,10,0,0,0,10
0500000US17183,Vermilion,116,0,32,46,0,39,233
0500000US17185,Wabash,55,0,0,0,0,0,55
0500000US17187,Warren,35,0,0,0,0,0,35
0500000US17189,Washington,0,0,0,0,0,0,0
0500000US17191,Wayne,45,53,49,0,0,0,147
0500000US17193,White,18,0,0,0,0,0,18
0500000US17195,Whiteside,55,0,19,0,60,0,134
0500000US17197,Will,242,0,116,0,0,0,358
0500000US17199,Williamson,0,0,43,0,0,0,43
0500000US17201,Winnebago,290,0,114,101,0,84,589
0500000US17203,Woodford,0,0,0,0,7,0,7
