GEOID,County,ROE
0500000US17001,Adams,Region 1
0500000US17003,Alexander,Region 30
0500000US17005,Bond,Region 3
0500000US17007,Boone,Region 4
0500000US17009,Brown,Region 1
0500000US17011,Bureau,Region 28
0500000US17013,Calhoun,Region 40
0500000US17015,Carroll,Region 8
0500000US17017,Cass,Region 1
0500000US17019,Champaign,Region 9
0500000US17021,Christian,Region 3
0500000US17023,Clark,Region 11
0500000US17025,Clay,Region 12
0500000US17027,Clinton,Region 13
0500000US17029,Coles,Region 11
0500000US17031,Cook,"Area I-A, Chicago; Area I-B-C, South Cook; Area I-B-C, West Cook; Area I-B-D, North Cook"
0500000US17033,Crawford,Region 12
0500000US17035,Cumberland,Region 11
0500000US17037,DeKalb,Region 16
0500000US17039,DeWitt,Region 17
0500000US17041,Douglas,Region 11
0500000US17043,DuPage,Region 19
0500000US17045,Edgar,Region 11
0500000US17047,Edwards,Region 20
0500000US17049,Effingham,Region 3
0500000US17051,Fayette,Region 3
0500000US17053,Ford,Region 9
0500000US17055,Franklin,Region 21
0500000US17057,Fulton,Region 26
0500000US17059,Gallatin,Region 20
0500000US17061,Greene,Region 40
0500000US17063,Grundy,Region 24
0500000US17065,Hamilton,Region 20
0500000US17067,Hancock,Region 26
0500000US17069,Hardin,Region 20
0500000US17071,Henderson,Region 33
0500000US17073,Henry,Region 28
0500000US17075,Iroquois,Region 32
0500000US17077,Jackson,Region 30
0500000US17079,Jasper,Region 12
0500000US17081,Jefferson,Region 13
0500000US17083,Jersey,Region 40
0500000US17085,Jo Daviess,Region 8
0500000US17087,Johnson,Region 21
0500000US17089,Kane,Region 31
0500000US17091,Kankakee,Region 32
0500000US17093,Kendall,Region 24
0500000US17095,Knox,Region 33
0500000US17097,Lake,Region 34
0500000US17099,LaSalle,Region 35
0500000US17101,Lawrence,Region 12
0500000US17103,Lee,Region 47
0500000US17105,Livingston,Region 17
0500000US17107,Logan,Region 17
0500000US17115,Macon,Region 39
0500000US17117,Macoupin,Region 40
0500000US17119,Madison,Region 41
0500000US17121,Marion,Region 13
0500000US17123,Marshall,Region 35
0500000US17125,Mason,Region 53
0500000US17127,Massac,Region 21
0500000US17109,McDonough,Region 26
0500000US17111,McHenry,Region 44
0500000US17113,McLean,Region 17
0500000US17129,Menard,Region 51
0500000US17131,Mercer,Region 33
0500000US17133,Monroe,Region 45
0500000US17135,Montgomery,Region 3
0500000US17137,Morgan,Region 1
0500000US17139,Moultrie,Region 11
0500000US17141,Ogle,Region 47
0500000US17143,Peoria,Region 48
0500000US17145,Perry,Region 30
0500000US17147,Piatt,Region 39
0500000US17149,Pike,Region 1
0500000US17151,Pope,Region 20
0500000US17153,Pulaski,Region 30
0500000US17155,Putnam,Region 35
0500000US17157,Randolph,Region 45
0500000US17159,Richland,Region 12
0500000US17161,Rock Island,Region 49
0500000US17165,Saline,Region 20
0500000US17167,Sangamon,Region 51
0500000US17169,Schuyler,Region 26
0500000US17171,Scott,Region 1
0500000US17173,Shelby,Region 11
0500000US17163,St. Clair,Region 50
0500000US17175,Stark,Region 28
0500000US17177,Stephenson,Region 8
0500000US17179,Tazewell,Region 53
0500000US17181,Union,Region 30
0500000US17183,Vermilion,Region 54
0500000US17185,Wabash,Region 20
0500000US17187,Warren,Region 33
0500000US17189,Washington,Region 13
0500000US17191,Wayne,Region 20
0500000US17193,White,Region 20
0500000US17195,Whiteside,Region 47
0500000US17197,Will,Region 56
0500000US17199,Williamson,Region 21
0500000US17201,Winnebago,Region 4
0500000US17203,Woodford,Region 53
