RegionID,ROEAreaName
17015,Area I-A Chicago
17114,Area I-B-C South Cook
17214,Area I-B-C West Cook
27314,Area I-B-D North Cook
17001,Region 1
17003,Region 3
17004,Region 4
17008,Region 8
17009,Region 9
17011,Region 11
17012,Region 12
17013,Region 13
17016,Region 16
17017,Region 17
17019,Region 19
17020,Region 20
17021,Region 21
17024,Region 24
17022,Region 26
17028,Region 28
17030,Region 30
17031,Region 31
17032,Region 32
17027,Region 33
17034,Region 34
17035,Region 35
17039,Region 39
17040,Region 40
17041,Region 41
17044,Region 44
17045,Region 45
17047,Region 47
17048,Region 48
17049,Region 49
17050,Region 50
17051,Region 51
17053,Region 53
17054,Region 54
17056,Region 56
